ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
0.0,1.0,-0.017291696290811256,88.2593,0.788976,-0.00906008,1.05516,1.06999,1.12039,1.21538,1.37502,1.64341,2.13133,3.21974,10.8511,35.3141,25.8802,19.5906,15.5606,12.9677,11.2747,10.168,9.46901,9.07836,8.9452
1.0,0.0,0.006529668560893907,140.034,-0.610875,-0.0017659,9.66527,9.80289,10.2414,11.0482,12.3628,14.4617,17.9114,23.9731,35.642,71.2294,21.329,7.28582,4.79148,3.67871,3.06837,2.7054,2.48865,2.37206,2.33476
1.0,0.0,0.4056093848790009,52.1212,-0.532466,0.577814,10.2488,11.0571,12.1916,13.9029,16.5068,20.5139,26.7134,36.3328,57.6052,7.94115,4.74111,3.73337,3.23116,2.95935,2.82978,2.81016,2.89605,3.10773,3.50594
1.0,0.0,-0.008919571967603996,166.802,0.533793,0.00705892,2.7973,2.84418,2.98535,3.24554,3.67877,4.40173,5.69971,8.47757,18.1681,86.7638,43.7044,25.257,17.8518,14.0724,11.8901,10.5615,9.7605,9.33154,9.20294
1.0,0.0,-0.3753699403505972,137.59,-0.330831,-0.0123498,7.9856,8.08875,8.44846,9.1236,10.2412,12.0631,15.1687,21.042,34.3475,55.5523,91.1645,12.794,8.36429,6.3963,5.31958,4.67944,4.29593,4.08704,4.01532
1.0,0.0,0.0011865600329097426,192.613,0.153831,-0.00626263,12.6928,12.8744,13.4767,14.6036,16.4826,19.6002,25.1131,36.4834,90.6069,158.486,86.3469,51.0209,34.9952,27.1287,22.7131,20.0579,18.4607,17.5942,17.3078
1.0,0.0,0.002009577751172795,157.922,-0.355713,-0.00716275,8.13446,8.24686,8.62157,9.31997,10.4742,12.3561,15.5692,21.6632,35.5117,69.6568,31.8017,12.0926,7.97015,6.11661,5.09783,4.4911,4.12789,3.93118,3.86584
1.0,0.0,-0.011282235393150302,215.396,0.546114,-0.0313399,6.81168,6.87994,7.17389,7.7453,8.71203,10.3309,13.2335,19.4816,46.5335,147.544,91.8626,61.1555,45.0446,35.9428,30.4422,26.9995,24.8666,23.6632,23.2025
1.0,0.0,0.008333962208356933,148.896,-0.15713,0.142444,7.01381,7.30167,7.84313,8.72752,10.129,12.3986,16.2828,23.4777,37.625,64.2156,23.1722,11.6124,8.4332,6.86667,5.97532,5.45158,5.16713,5.05983,5.10897
0.0,1.0,0.02408610589500375,70.2265,-0.196191,0.247719,6.16928,6.55686,7.23083,8.34173,10.1423,12.5832,15.6159,19.0882,22.748,26.322,11.2039,7.1515,5.76553,4.95569,4.46428,4.17699,4.03977,4.02983,4.14559
1.0,0.0,-0.009146747160507722,148.364,0.423887,-0.0349604,3.45882,3.49115,3.63747,3.92346,4.4075,5.21665,6.65998,9.72793,21.9998,62.8575,37.5238,23.85,17.1159,13.4753,11.3284,10.0028,9.18702,8.72711,8.54836
1.0,0.0,-0.008693036269429974,139.522,-0.0424638,-0.12645,5.25427,5.21835,5.3442,5.65225,6.19782,7.0987,8.6122,11.3857,17.5819,94.2882,45.5445,21.6537,12.378,8.84892,7.05249,6.01426,5.38512,5.01304,4.82621
1.0,0.0,-0.3578304956806172,57.265,-0.797898,0.268823,9.1455,9.4186,9.83636,10.4103,11.1532,12.0758,13.1826,14.4659,15.9011,17.4439,19.0727,2.10162,1.53288,1.27175,1.12824,1.04924,1.01423,1.01566,1.05381
1.0,0.0,0.004819743659335174,158.31,-0.393951,0.00632078,8.36389,8.4985,8.90442,9.64814,10.8702,12.8594,16.2531,22.6679,36.955,72.96,26.8009,10.9674,7.3285,5.66379,4.74213,4.19206,3.86389,3.68903,3.63638
1.0,0.0,-0.0054865278390082576,96.0677,-0.827689,-0.0851858,11.0003,11.0037,11.3013,11.9343,12.9879,14.6268,17.147,21.1678,30.2742,87.4557,44.3786,4.49446,2.53037,1.82751,1.47095,1.26527,1.14163,1.07036,1.03769
1.0,0.0,-0.024206477732793417,145.255,-0.58377,-0.0509526,9.51407,9.57027,9.90714,10.5729,11.6727,13.4077,16.1909,21.2018,32.1179,70.6275,61.6143,9.76757,5.72702,4.22145,3.44194,2.98834,2.71657,2.56367,2.5007
1.0,0.0,-0.003156862946482697,156.177,0.449081,-0.0428311,3.30859,3.33488,3.46976,3.73682,4.19028,4.94798,6.2954,9.13579,19.8112,146.107,38.7262,24.4505,17.5307,13.7908,11.5829,10.2172,9.37406,8.89485,8.70212
1.0,0.0,0.007080239269508066,142.526,-0.611071,0.0113714,9.66701,9.82196,10.2719,11.0814,12.376,14.4,17.7402,23.7443,36.0337,64.685,23.3232,7.22942,4.72712,3.63604,3.03985,2.68635,2.47655,2.36568,2.33373
1.0,0.0,0.02330119708985665,161.217,0.165329,0.0348518,5.01111,5.12115,5.40607,5.91786,6.76869,8.20733,10.8769,17.105,60.256,70.5775,29.6163,17.9113,12.958,10.3568,8.83353,7.90256,7.3461,7.05966,6.99615
